,Unnamed: 0,id_str,created_at,favorite_count,retweet_count, text,Text_lenth
0,0,1424867026108047365,2021-08-09 22:55:46,0,0,"@caitp69 @RReverser Sorry about that, I think that is either a bug in the npm client or incorrect documentation on the website because `--offline` is meant to make no network requests at all https://t.co/OLqp1BsxAz",173
1,1,1424848755900272652,2021-08-09 21:43:10,1,0,@caitp69 @RReverser `npm install --offline` should do it,38
2,2,1391916490274877443,2021-05-11 00:42:06,2,0,"@bitandbang this action can turn on automerge for a pull-request which meets whatever rules you want. e.g. a scheduled action running npm audit and making a pr, then use this action to merge when the checks pass --https://t.co/8LmG6q85er",203
3,3,1374415348288475141,2021-03-23 17:38:49,3,0,"@joelanman The npm package @financial-times/sass is the executable and works across multiple platforms, we use it in heroku and other platforms and it works great for us",149
4,4,1354838779190796291,2021-01-28 17:08:31,0,0,"@lukeed05 @MylesBorins Perhaps this could be solved in the npm client instead? Give it a list of registries to search within, that way each registry doesn't need to have their own proxy implementation",179
5,5,1354836870094532612,2021-01-28 17:00:56,1,0,Is it possible to have a shared npm scope across two registries? public packages on the npmjs registry and private packages on the github registry? /cc @MylesBorins and @lukeed05 as I imagine you have both come across this issue in your travels and may have the answer 🤞,249
6,6,1338812160760221696,2020-12-15 11:44:27,4,0,"@_chenglou Yes it is, we do that by using the os and CPU package.json fields and having a different npm package for each, then one package which has all of those specific packages as optional dependencies https://t.co/Anh4jNvFos",195
7,7,1325964422339301376,2020-11-10 00:52:08,0,0,@enricoschaaf @mjackson @remix_run hard to do as npm only allow 500 webhooks i believe and you need 1 webhook per package. i'm not sure there is a way to be notified for each version publish of each package on npm,181
8,8,1322153193028145152,2020-10-30 12:27:40,0,0,"@CodePen is there a way to install npm packages and to configure sass load-paths to look in node_modules?
With those two features we could import sass packages from npm :-)",164
9,9,1316043919122206720,2020-10-13 15:51:35,0,0,"@ali_mert_cakar @polyfillio We have this page which lists the extra npm packages we have -- https://t.co/n0uTImoHNs

We are happy to accept a pull-request which improves that page's content if you have ideas :-)",162
10,10,1298695620820185091,2020-08-26 18:55:39,0,0,@sangwhanmoon Deduplication isn't something npm does but pnpm does it at the package level,77
11,11,1283715352204058625,2020-07-16 10:49:24,0,1,@BenLesh The library which contains all the polyfills for @polyfillio is hopefully getting to a place where it can be a single well-known source. We have a NodeJS npm package similar to core-js and we have another npm package with DOM and JavaScript polyfills -- https://t.co/HZiVUNb3W3,244
12,12,1282974492180967426,2020-07-14 09:45:30,3,0,"@robpalmer2 '@​financial-times/sass'
Prebuilt dart-sass binaries for nearly all platforms, available via npm. Get the performance benefits of the Dart VM with the ease of an npm install
https://t.co/o1hvToZ4J1",175
13,13,1279495561683636228,2020-07-04 19:21:28,0,0,"@ryanflorence 6054 files, it's the npm library for https://t.co/29YaS03zrD which contains all polyfills and there tests. One file per polyfill and one file for testing a polyfill",142
14,14,1265326492520677378,2020-05-26 16:58:39,1,0,@aendrew Make a new npm namespace and migrate all packages to it and deprecate the other namespace,90
15,15,1260153977125158912,2020-05-12 10:24:55,0,0,"@_munter_ I use the boxen npm module to draw boxes in the CLI, maybe that module can help here as well :)",96
16,16,1259552766579671043,2020-05-10 18:35:55,1,0,"@NickColley I'm doing the last three on a side-project (camera roll of my holiday photos). Using a few npm packages to do it all. 'resize-img' to resize, 'image-size' to get exact sizes for width and height attr, 'imagemin-webp' to convert to webp, and the `loading=lazy` attr on img elements",281
17,17,1250763672760332288,2020-04-16 12:31:12,2,0,"@simonleggsays I grind the beans whilst I run `npm install` and then I store them in an ""airtight"" tub. I have so many ground beans because `npm install` takes so long.",154
18,18,1250229889397133314,2020-04-15 01:10:08,0,0,"@b0neskull @openjsf I run https://t.co/29YaS03zrD and the underlying npm packages. I've not read or heard about what the OpenJS CPC does, is there somewhere I can go to learn about this?",145
19,19,1248397845364740097,2020-04-09 23:50:15,0,0,"@garybernhardt We ship prebuilt binaries for the major OSes on npm and have a parent package which installs the correct binary based on the os + cpu arch -- https://t.co/yhrsJkLnYq

We have the same for prebuilt dart-sass binaries, which are much faster than node-sass -- https://t.co/o1hvToZ4J1",235
20,20,1237063602697392133,2020-03-09 17:12:01,0,0,"`npm install --save-optional &lt;package&gt;` does not work because it actually tries to install the package, which fails to install (as it should) and so npm doesn't add the package to the `optionalDependencies` section.

cc @izs, is this possible?",245
21,21,1237062813132218373,2020-03-09 17:08:52,0,0,"How can you add an optional dependency to package.json via the npm command when the optional dependency does not support the platform the npm command is running on?

I.E. On linux and wanting to add an optional dependency which only installs on windows machines?",262
22,22,1227544849659912194,2020-02-12 10:47:53,0,0,@adam_baldwin @jvehent @mattaustin @eleuterio_ Does the path to a package matter in this instance? How come npm audit doesn't use the deduplicated package-lock tree?,122
23,23,1218228082768797697,2020-01-17 17:46:23,0,0,@dependabot Is there a guide on how to publish an npm package and have the dependabot PRs for that package have good-looking changelog and release-notes? Dependabot PRs for o-layout are missing those features and I want to fix that -- https://t.co/2E3ozqRCJT,224
24,24,1135950442272317442,2019-06-04 16:44:25,4,0,"@mjackson The one they are building is open source and federated though, whereas the npm registry is closed and centralised",114
25,25,1131592364714278912,2019-05-23 16:06:58,1,0,@WebReflection @npmjs https://t.co/i6vQ4dOSzM,2
26,26,1131592285249003520,2019-05-23 16:06:39,0,0,@WebReflection @npmjs Issues are on their discourse instance,40
27,27,1127190092198612992,2019-05-11 12:33:54,0,0,@shizzmd @oriSomething @andrestaltz The tarballs are still via the npm registry,46
28,28,1115680045023027201,2019-04-09 18:17:05,1,0,"@stefbirb @mountain_ghosts `npm i underscore@npm:lodash` will install lodash under the name underscore, which means `require(""underscore"")` will return lodash",129
29,29,1115678826720313344,2019-04-09 18:12:15,1,0,@mountain_ghosts It was for alias support but now npm has it :),47
30,30,1110981502257557504,2019-03-27 19:06:45,0,0,"@fquednau @polyfillio I don't think there are alternatives out there unfortunately. If you have a NodeJS server, you can use the npm package and get the polyfills from that directly :-) https://t.co/B7L5TrW0jS",166
